dataset,policy_name,num_episodes,avg_delay_mean,avg_delay_ci95,episode_drift_mean,episode_drift_ci95,combined_score_mean,combined_score_ci95,on_time_rate_mean,total_shifts_mean,total_switches_mean,avg_solve_time_ms_mean,llm_calls_mean,llm_tokens_mean,llm_fallback_mean,llm_cache_hit_rate_mean
test,fixed_default,60,0.0,0.0,0.0009,0.00032,0.004,0.002,1.0,1.63,0.75,15.1,0.0,0.0,0.0,0.0
test,fixed_tuned,60,0.0,0.0,0.00037,0.00013,0.002,0.001,1.0,2.6,0.2,15.0,0.0,0.0,0.0,0.0
test,greedy,60,0.0,0.0,0.00081,0.00033,0.004,0.002,1.0,0.5,1.28,0.0,0.0,0.0,0.0,0.0
test,nofreeze,60,0.0,0.0,0.00086,0.00032,0.004,0.002,1.0,1.73,0.68,15.1,0.0,0.0,0.0,0.0
train,fixed_default,60,0.0,0.0,0.00118,0.00053,0.006,0.003,1.0,2.18,0.83,14.9,0.0,0.0,0.0,0.0
train,fixed_tuned,60,0.0,0.0,0.00056,0.00025,0.003,0.001,1.0,3.12,0.33,15.0,0.0,0.0,0.0,0.0
train,greedy,60,0.0,0.0,0.00074,0.00023,0.004,0.001,1.0,0.8,1.07,0.0,0.0,0.0,0.0,0.0
train,mockllm,60,0.0,0.0,0.00122,0.00053,0.006,0.003,1.0,2.08,0.88,14.5,45.9,0.0,0.0,0.0
train,nofreeze,60,0.0,0.0,0.00117,0.00051,0.006,0.003,1.0,2.37,0.78,14.9,0.0,0.0,0.0,0.0
