dataset,policy_name,n,mean_delay,CI_delay,mean_drift,CI_drift,combined_mean,combined_ci95,on_time_mean,mean_replans,mean_switch,mean_shifts,mean_solver_time_ms,mean_wall_time_ms,fallback_rate,cache_hit_rate,mean_llm_time_ms,mean_llm_total_tokens,total_llm_calls,total_fallbacks
test,fixed_default,60,0.0,0.0,0.0009,0.00032,0.004,0.002,1.0,45.85,0.75,1.63,15.1,707.5,0.0,0.0,0.0,0.0,0,0
test,fixed_tuned,60,0.0,0.0,0.00037,0.00013,0.002,0.001,1.0,45.88,0.2,2.6,15.0,704.2,0.0,0.0,0.0,0.0,0,0
test,greedy,60,0.0,0.0,0.00081,0.00033,0.004,0.002,1.0,69.18,1.28,0.5,0.0,4.8,0.0,0.0,0.0,0.0,0,0
test,llm_real,60,0.0,0.0,0.00125,0.0004,0.006,0.002,1.0,45.83,1.03,1.32,11.7,2067.7,0.0,0.9891,1441.0,23544.0,2750,0
test,nofreeze,60,0.0,0.0,0.00086,0.00032,0.004,0.002,1.0,45.85,0.68,1.73,15.1,706.9,0.0,0.0,0.0,0.0,0,0
train,fixed_default,60,0.0,0.0,0.00118,0.00053,0.006,0.003,1.0,45.85,0.83,2.18,14.9,703.2,0.0,0.0,0.0,0.0,0,0
train,fixed_tuned,60,0.0,0.0,0.00056,0.00025,0.003,0.001,1.0,45.98,0.33,3.12,15.0,707.2,0.0,0.0,0.0,0.0,0,0
train,greedy,60,0.0,0.0,0.00074,0.00023,0.004,0.001,1.0,69.8,1.07,0.8,0.0,6.5,0.0,0.0,0.0,0.0,0,0
train,mockllm,60,0.0,0.0,0.00122,0.00053,0.006,0.003,1.0,45.87,0.88,2.08,14.5,706.7,0.0,0.0,0.0,0.0,2752,0
train,nofreeze,60,0.0,0.0,0.00117,0.00051,0.006,0.003,1.0,45.88,0.78,2.37,14.9,703.9,0.0,0.0,0.0,0.0,0,0
