dataset,policy_name,num_episodes,avg_delay_mean,avg_delay_ci95,episode_drift_mean,episode_drift_ci95,combined_score_mean,combined_score_ci95,on_time_rate_mean,total_shifts_mean,total_switches_mean,avg_solve_time_ms_mean
test,fixed_default,3,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
test,fixed_tuned,3,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
test,greedy,3,0.0,0.0,0.00146,0.00146,0.007,0.007,1.0,0.67,1.67,0.0
test,mockllm,3,0.0,0.0,0.00176,0.00067,0.009,0.003,1.0,2.33,1.33,14.3
test,nofreeze,3,0.0,0.0,0.00108,0.00086,0.005,0.004,1.0,2.67,1.0,14.4
train,fixed_default,3,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
train,fixed_tuned,3,inf,nan,0.0,0.0,inf,nan,0.0,0.0,0.0,0.0
train,greedy,3,0.0,0.0,0.0003,0.00059,0.001,0.003,1.0,0.0,0.67,0.0
train,mockllm,3,0.0,0.0,6e-05,1e-05,0.0,0.0,1.0,1.67,0.0,14.6
train,nofreeze,3,0.0,0.0,7e-05,1e-05,0.0,0.0,1.0,2.0,0.0,14.7
