freeze_horizon_slots,w_delay,w_shift,w_switch,avg_delay,avg_drift,combined_score,num_episodes,avg_solve_time_ms
0,5.0,0.0,0,0.0,0.0527821702874096,0.263910851437048,9,15.297523432061006
0,5.0,0.0,180,0.23076923076923078,0.0014455856844533485,0.23799715919149753,9,15.151274845944137
0,5.0,1.0,0,0.0,0.04452882743737707,0.22264413718688536,9,15.370282414195678
0,5.0,1.0,180,0.2834008097165992,0.0008980746670680961,0.28789118305193967,9,15.199675458630367
0,20.0,0.0,0,0.0,0.053411022953609395,0.267055114768047,9,15.209496682662511
0,20.0,0.0,180,0.0,0.0015426232511126885,0.007713116255563443,9,15.164934416566503
0,20.0,1.0,0,0.0,0.041997863049952615,0.20998931524976308,9,15.329756380916024
0,20.0,1.0,180,0.05263157894736842,0.0009351364905477962,0.0573072614001074,9,15.25780018657684
36,5.0,0.0,0,0.0,0.05749042387388048,0.2874521193694024,9,15.284440747896106
36,5.0,0.0,180,0.3648822911980807,0.0020334236625172545,0.37504940951066695,9,15.234921855129828
36,5.0,1.0,0,0.0,0.04495070828154476,0.2247535414077238,9,15.278350818519755
36,5.0,1.0,180,0.31225071225071227,0.0012852144763138198,0.3186767846322814,9,15.289046219440255
36,20.0,0.0,0,0.0,0.05023739095698262,0.2511869547849131,9,15.27608126369745
36,20.0,0.0,180,0.08148148148148147,0.0020233372385337037,0.09159816767415,9,15.352290449876458
36,20.0,1.0,0,0.0,0.044828050124260194,0.22414025062130097,9,15.361273674166277
36,20.0,1.0,180,0.05263157894736842,0.001331845056861161,0.059290804231674224,9,15.171204072131474
